prediction_id,prediction_created_at,prediction_base_date,prediction_target_date,sector,interval_center_pct,interval_lower_pct,interval_upper_pct,interval_width_pct,actual_sector_return,interval_coverage_hit,interval_below_lower_flag,interval_above_upper_flag,interval_center_abs_error_pct,interval_center_signed_error_pct,return_interval_label,return_interval_confidence_label,expected_return_grade,final_action,interval_evaluated_at
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,2차전지,0.6049786936043772,-5.131968690338878,5.007000087279024,10.138968777617901,-1.817131421521708,1,0,0,2.422110115126085,-2.422110115126085,상승 가능/오차 큼,낮음,제한적 상승,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,게임/엔터,0.4670293342812329,-3.5416446445358485,3.190499050721295,6.732143695257143,-1.9982949613893732,1,0,0,2.465324295670606,-2.465324295670606,상승 가능/오차 큼,낮음,중립/오차 큼,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,금융,0.5106525888815532,-3.7551918020319577,3.978849337180572,7.73404113921253,-3.809927927760942,0,1,0,4.3205805166424955,-4.3205805166424955,상승 가능/오차 큼,낮음,제한적 상승,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,바이오,0.487103935337454,-3.802778558793455,4.547085744728419,8.349864303521874,-2.260214301481087,1,0,0,2.747318236818541,-2.747318236818541,상승 가능/오차 큼,낮음,중립/오차 큼,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,반도체/전자,0.3166724427894054,-4.971953581086407,4.56357832685431,9.535531907940717,4.508727670750885,1,0,0,4.19205522796148,4.19205522796148,상승 가능/오차 큼,낮음,중립/오차 큼,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,유통/소비,0.4571255957893866,-3.23674036044468,2.862404004396595,6.099144364841274,-2.65945168278524,1,0,0,3.116577278574627,-3.116577278574627,상승 중심/하단 음수,낮음,제한적 상승,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,인터넷/플랫폼,0.4791087116538768,-3.684916401602922,3.683625787196469,7.368542188799391,-1.7351450210465913,1,0,0,2.214253732700468,-2.214253732700468,상승 가능/오차 큼,낮음,제한적 상승,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,자동차,0.688789328405842,-3.7627672914338266,4.6756949210250935,8.43846221245892,-4.609438957646684,0,1,0,5.298228286052526,-5.298228286052526,상승 가능/오차 큼,낮음,상승 우위,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,조선/방산,0.8104745930198922,-3.910440949321031,5.3872640727634735,9.297705022084504,-2.99946516626472,1,0,0,3.809939759284612,-3.809939759284612,상승 가능/오차 큼,낮음,상승 우위,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,철강/소재,0.5984922689782067,-3.6700201515664497,4.80685616392095,8.4768763154874,-2.684354450707211,1,0,0,3.2828467196854176,-3.2828467196854176,상승 가능/오차 큼,낮음,상승 우위,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,통신,0.5796226855063312,-4.170275178575096,4.676525272748284,8.84680045132338,-2.255354530019404,1,0,0,2.8349772155257353,-2.8349772155257353,상승 가능/오차 큼,낮음,중립/오차 큼,회피 우선,2026-06-22T20:59:26
2026-06-19_to_2026-06-22,2026-06-21T23:58:46,2026-06-19,2026-06-22,화학/정유,0.6343157745577731,-3.9409552152111225,4.947449725563937,8.88840494077506,-1.6320951162269417,1,0,0,2.266410890784715,-2.266410890784715,상승 가능/오차 큼,낮음,상승 우위,회피 우선,2026-06-22T20:59:26
